chapter,verse,texte
1,1,"Παῦλος, 3972 {N-NSM} ἀπόστολος 652 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ 5547 {N-GSM} διὰ 1223 {PREP} θελήματος 2307 {N-GSN} θεοῦ, 2316 {N-GSM} κατ’ 2596 {PREP} ἐπαγγελίαν 1860 {N-ASF} ζωῆς 2222 {N-GSF} τῆς 3588 {T-GSF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ, 2424 {N-DSM} "
1,2,"Τιμοθέῳ 5095 {N-DSM} ἀγαπητῷ 27 {A-DSN} τέκνῳ· 5043 {N-DSN} χάρις, 5485 {N-NSF} ἔλεος, 1656 {N-NSN} εἰρήνη 1515 {N-NSF} ἀπὸ 575 {PREP} θεοῦ 2316 {N-GSM} πατρὸς 3962 {N-GSM} καὶ 2532 {CONJ} χριστοῦ 5547 {N-GSM} Ἰησοῦ 2424 {N-GSM} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν. 1473 {P-1GP} "
1,3,"Χάριν 5485 {N-ASF} ἔχω 2192 {V-PAI-1S} τῷ 3588 {T-DSM} θεῷ, 2316 {N-DSM} ᾧ 3739 {R-DSM} λατρεύω 3000 {V-PAI-1S} ἀπὸ 575 {PREP} προγόνων 4269 {N-GPM} ἐν 1722 {PREP} καθαρᾷ 2513 {A-DSF} συνειδήσει, 4893 {N-DSF} ὡς 5613 {ADV} ἀδιάλειπτον 88 {A-ASF} ἔχω 2192 {V-PAI-1S} τὴν 3588 {T-ASF} περὶ 4012 {PREP} σοῦ 4771 {P-2GS} μνείαν 3417 {N-ASF} ἐν 1722 {PREP} ταῖς 3588 {T-DPF} δεήσεσίν 1162 {N-DPF} μου 1473 {P-1GS} νυκτὸς 3571 {N-GSF} καὶ 2532 {CONJ} ἡμέρας, 2250 {N-GSF} "
1,4,"ἐπιποθῶν 1971 {V-PAP-NSM} σε 4771 {P-2AS} ἰδεῖν, 3708 {V-2AAN} μεμνημένος 3403 {V-RPP-NSM} σου 4771 {P-2GS} τῶν 3588 {T-GPN} δακρύων, 1144 {N-GPN} ἵνα 2443 {CONJ} χαρᾶς 5479 {N-GSF} πληρωθῶ, 4137 {V-APS-1S} "
1,5,"ὑπόμνησιν 5280 {N-ASF} λαμβάνων 2983 {V-PAP-NSM} τῆς 3588 {T-GSF} ἐν 1722 {PREP} σοὶ 4771 {P-2DS} ἀνυποκρίτου 505 {A-GSF} πίστεως, 4102 {N-GSF} ἥτις 3748 {R-NSF} ἐνῴκησεν 1774 {V-AAI-3S} πρῶτον 4412 {ADV-S} ἐν 1722 {PREP} τῇ 3588 {T-DSF} μάμμῃ 3125 {N-DSF} σου 4771 {P-2GS} Λωΐδι 3090 {N-DSF} καὶ 2532 {CONJ} τῇ 3588 {T-DSF} μητρί 3384 {N-DSF} σου 4771 {P-2GS} Εὐνίκῃ, 2131 {N-DSF} πέπεισμαι 3982 {V-RPI-1S} δὲ 1161 {CONJ} ὅτι 3754 {CONJ} καὶ 2532 {CONJ} ἐν 1722 {PREP} σοί. 4771 {P-2DS} "
1,6,"Δι’ 1223 {PREP} ἣν 3739 {R-ASF} αἰτίαν 156 {N-ASF} ἀναμιμνῄσκω 363 {V-PAI-1S} σε 4771 {P-2AS} ἀναζωπυρεῖν 329 {V-PAN} τὸ 3588 {T-ASN} χάρισμα 5486 {N-ASN} τοῦ 3588 {T-GSM} θεοῦ, 2316 {N-GSM} ὅ 3739 {R-NSN} ἐστιν 1510 {V-PAI-3S} ἐν 1722 {PREP} σοὶ 4771 {P-2DS} διὰ 1223 {PREP} τῆς 3588 {T-GSF} ἐπιθέσεως 1936 {N-GSF} τῶν 3588 {T-GPF} χειρῶν 5495 {N-GPF} μου. 1473 {P-1GS} "
1,7,"Οὐ 3756 {PRT-N} γὰρ 1063 {CONJ} ἔδωκεν 1325 {V-AAI-3S} ἡμῖν 1473 {P-1DP} ὁ 3588 {T-NSM} θεὸς 2316 {N-NSM} πνεῦμα 4151 {N-ASN} δειλίας, 1167 {N-GSF} ἀλλὰ 235 {CONJ} δυνάμεως 1411 {N-GSF} καὶ 2532 {CONJ} ἀγάπης 26 {N-GSF} καὶ 2532 {CONJ} σωφρονισμοῦ. 4995 {N-GSM} "
1,8,"Μὴ 3361 {PRT-N} οὖν 3767 {CONJ} ἐπαισχυνθῇς 1870 {V-AOS-2S} τὸ 3588 {T-ASN} μαρτύριον 3142 {N-ASN} τοῦ 3588 {T-GSM} κυρίου 2962 {N-GSM} ἡμῶν, 1473 {P-1GP} μηδὲ 3366 {CONJ-N} ἐμὲ 1473 {P-1AS} τὸν 3588 {T-ASM} δέσμιον 1198 {N-ASM} αὐτοῦ· 846 {P-GSM} ἀλλὰ 235 {CONJ} συγκακοπάθησον 4777 {V-AAM-2S} τῷ 3588 {T-DSN} εὐαγγελίῳ 2098 {N-DSN} κατὰ 2596 {PREP} δύναμιν 1411 {N-ASF} θεοῦ, 2316 {N-GSM} "
1,9,"τοῦ 3588 {T-GSM} σώσαντος 4982 {V-AAP-GSM} ἡμᾶς 1473 {P-1AP} καὶ 2532 {CONJ} καλέσαντος 2564 {V-AAP-GSM} κλήσει 2821 {N-DSF} ἁγίᾳ, 40 {A-DSF} οὐ 3756 {PRT-N} κατὰ 2596 {PREP} τὰ 3588 {T-APN} ἔργα 2041 {N-APN} ἡμῶν, 1473 {P-1GP} ἀλλὰ 235 {CONJ} κατ’ 2596 {PREP} ἰδίαν 2398 {A-ASF} πρόθεσιν 4286 {N-ASF} καὶ 2532 {CONJ} χάριν 5485 {N-ASF} τὴν 3588 {T-ASF} δοθεῖσαν 1325 {V-APP-ASF} ἡμῖν 1473 {P-1DP} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ 2424 {N-DSM} πρὸ 4253 {PREP} χρόνων 5550 {N-GPM} αἰωνίων, 166 {A-GPM} "
1,10,"φανερωθεῖσαν 5319 {V-APP-ASF} δὲ 1161 {CONJ} νῦν 3568 {ADV} διὰ 1223 {PREP} τῆς 3588 {T-GSF} ἐπιφανείας 2015 {N-GSF} τοῦ 3588 {T-GSM} σωτῆρος 4990 {N-GSM} ἡμῶν 1473 {P-1GP} Ἰησοῦ 2424 {N-GSM} χριστοῦ, 5547 {N-GSM} καταργήσαντος 2673 {V-AAP-GSM} μὲν 3303 {PRT} τὸν 3588 {T-ASM} θάνατον, 2288 {N-ASM} φωτίσαντος 5461 {V-AAP-GSM} δὲ 1161 {CONJ} ζωὴν 2222 {N-ASF} καὶ 2532 {CONJ} ἀφθαρσίαν 861 {N-ASF} διὰ 1223 {PREP} τοῦ 3588 {T-GSN} εὐαγγελίου, 2098 {N-GSN} "
1,11,εἰς 1519 {PREP} ὃ 3739 {R-ASN} ἐτέθην 5087 {V-API-1S} ἐγὼ 1473 {P-1NS} κῆρυξ 2783 {N-NSM} καὶ 2532 {CONJ} ἀπόστολος 652 {N-NSM} καὶ 2532 {CONJ} διδάσκαλος 1320 {N-NSM} ἐθνῶν. 1484 {N-GPN} 
1,12,"Δι’ 1223 {PREP} ἣν 3739 {R-ASF} αἰτίαν 156 {N-ASF} καὶ 2532 {CONJ} ταῦτα 3778 {D-APN} πάσχω, 3958 {V-PAI-1S} ἀλλ’ 235 {CONJ} οὐκ 3756 {PRT-N} ἐπαισχύνομαι· 1870 {V-PNI-1S} οἶδα 1492 {V-RAI-1S} γὰρ 1063 {CONJ} ᾧ 3739 {R-DSM} πεπίστευκα, 4100 {V-RAI-1S} καὶ 2532 {CONJ} πέπεισμαι 3982 {V-RPI-1S} ὅτι 3754 {CONJ} δυνατός 1415 {A-NSM} ἐστιν 1510 {V-PAI-3S} τὴν 3588 {T-ASF} παραθήκην 3866 {N-ASF} μου 1473 {P-1GS} φυλάξαι 5442 {V-AAN} εἰς 1519 {PREP} ἐκείνην 1565 {D-ASF} τὴν 3588 {T-ASF} ἡμέραν. 2250 {N-ASF} "
1,13,"Ὑποτύπωσιν 5296 {N-ASF} ἔχε 2192 {V-PAM-2S} ὑγιαινόντων 5198 {V-PAP-GPM} λόγων 3056 {N-GPM} ὧν 3739 {R-GPM} παρ’ 3844 {PREP} ἐμοῦ 1473 {P-1GS} ἤκουσας, 191 {V-AAI-2S} ἐν 1722 {PREP} πίστει 4102 {N-DSF} καὶ 2532 {CONJ} ἀγάπῃ 26 {N-DSF} τῇ 3588 {T-DSF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ. 2424 {N-DSM} "
1,14,Τὴν 3588 {T-ASF} καλὴν 2570 {A-ASF} παραθήκην 3866 {N-ASF} φύλαξον 5442 {V-AAM-2S} διὰ 1223 {PREP} πνεύματος 4151 {N-GSN} ἁγίου 40 {A-GSN} τοῦ 3588 {T-GSN} ἐνοικοῦντος 1774 {V-PAP-GSN} ἐν 1722 {PREP} ἡμῖν. 1473 {P-1DP}
1,15,"Οἶδας 1492 {V-RAI-2S} τοῦτο, 3778 {D-ASN} ὅτι 3754 {CONJ} ἀπεστράφησάν 654 {V-2API-3P} με 1473 {P-1AS} πάντες 3956 {A-NPM} οἱ 3588 {T-NPM} ἐν 1722 {PREP} τῇ 3588 {T-DSF} Ἀσίᾳ, 773 {N-DSF} ὧν 3739 {R-GPM} ἐστὶν 1510 {V-PAI-3S} Φύγελος 5436 {N-NSM} καὶ 2532 {CONJ} Ἑρμογένης. 2061 {N-NSM} "
1,16,"Δῴη 1325 {V-2AAO-3S} ἔλεος 1656 {N-ASN} ὁ 3588 {T-NSM} κύριος 2962 {N-NSM} τῷ 3588 {T-DSM} Ὀνησιφόρου 3683 {N-GSM} οἴκῳ· 3624 {N-DSM} ὅτι 3754 {CONJ} πολλάκις 4178 {ADV} με 1473 {P-1AS} ἀνέψυξεν, 404 {V-AAI-3S} καὶ 2532 {CONJ} τὴν 3588 {T-ASF} ἅλυσίν 254 {N-ASF} μου 1473 {P-1GS} οὐκ 3756 {PRT-N} ἐπαισχύνθη, 1870 {V-AOI-3S} "
1,17,"ἀλλὰ 235 {CONJ} γενόμενος 1096 {V-2ADP-NSM} ἐν 1722 {PREP} Ῥώμῃ, 4516 {N-DSF} σπουδαιότερον 4705 {A-ASM-C} ἐζήτησέν 2212 {V-AAI-3S} με 1473 {P-1AS} καὶ 2532 {CONJ} εὗρεν- 2147 {V-2AAI-3S} "
1,18,"δῴη 1325 {V-2AAO-3S} αὐτῷ 846 {P-DSM} ὁ 3588 {T-NSM} κύριος 2962 {N-NSM} εὑρεῖν 2147 {V-2AAN} ἔλεος 1656 {N-ASN} παρὰ 3844 {PREP} κυρίου 2962 {N-GSM} ἐν 1722 {PREP} ἐκείνῃ 1565 {D-DSF} τῇ 3588 {T-DSF} ἡμέρᾳ- 2250 {N-DSF} καὶ 2532 {CONJ} ὅσα 3745 {K-APN} ἐν 1722 {PREP} Ἐφέσῳ 2181 {N-DSF} διηκόνησεν, 1247 {V-AAI-3S} βέλτιον 957 {ADV-C} σὺ 4771 {P-2NS} γινώσκεις. 1097 {V-PAI-2S} "
2,1,"Σὺ 4771 {P-2NS} οὖν, 3767 {CONJ} τέκνον 5043 {N-VSN} μου, 1473 {P-1GS} ἐνδυναμοῦ 1743 {V-PPM-2S} ἐν 1722 {PREP} τῇ 3588 {T-DSF} χάριτι 5485 {N-DSF} τῇ 3588 {T-DSF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ. 2424 {N-DSM} "
2,2,"Καὶ 2532 {CONJ} ἃ 3739 {R-APN} ἤκουσας 191 {V-AAI-2S} παρ’ 3844 {PREP} ἐμοῦ 1473 {P-1GS} διὰ 1223 {PREP} πολλῶν 4183 {A-GPM} μαρτύρων, 3144 {N-GPM} ταῦτα 3778 {D-APN} παράθου 3908 {V-2AMM-2S} πιστοῖς 4103 {A-DPM} ἀνθρώποις, 444 {N-DPM} οἵτινες 3748 {R-NPM} ἱκανοὶ 2425 {A-NPM} ἔσονται 1510 {V-FDI-3P} καὶ 2532 {CONJ} ἑτέρους 2087 {A-APM} διδάξαι. 1321 {V-AAN} "
2,3,Σὺ 4771 {P-2NS} οὖν 3767 {CONJ} κακοπάθησον 2553 {V-AAM-2S} ὡς 5613 {ADV} καλὸς 2570 {A-NSM} στρατιώτης 4757 {N-NSM} Ἰησοῦ 2424 {N-GSM} χριστοῦ. 5547 {N-GSM} 
2,4,"Οὐδεὶς 3762 {A-NSM-N} στρατευόμενος 4754 {V-PMP-NSM} ἐμπλέκεται 1707 {V-PPI-3S} ταῖς 3588 {T-DPF} τοῦ 3588 {T-GSM} βίου 979 {N-GSM} πραγματείαις, 4230 {N-DPF} ἵνα 2443 {CONJ} τῷ 3588 {T-DSM} στρατολογήσαντι 4758 {V-AAP-DSM} ἀρέσῃ. 700 {V-AAS-3S} "
2,5,"Ἐὰν 1437 {COND} δὲ 1161 {CONJ} καὶ 2532 {CONJ} ἀθλῇ 118 {V-PAS-3S} τις, 5100 {X-NSM} οὐ 3756 {PRT-N} στεφανοῦται 4737 {V-PPI-3S} ἐὰν 1437 {COND} μὴ 3361 {PRT-N} νομίμως 3545 {ADV} ἀθλήσῃ. 118 {V-AAS-3S} "
2,6,Τὸν 3588 {T-ASM} κοπιῶντα 2872 {V-PAP-ASM} γεωργὸν 1092 {N-ASM} δεῖ 1163 {V-PAI-3S} πρῶτον 4412 {ADV-S} τῶν {A-ASN-S} των καρπῶν {T-GPM} καρπων μεταλαμβάνειν. {N-GPM} μεταλαμβανειν{V-PAN} 
2,7,Νόει 3539 {V-PAM-2S} ἃ 3739 {R-APN} λέγω· 3004 {V-PAI-1S} δῴη 1325 {V-2AAO-3S} γάρ 1063 {CONJ} σοι 4771 {P-2DS} ὁ 3588 {T-NSM} κύριος 2962 {N-NSM} σύνεσιν 4907 {N-ASF} ἐν 1722 {PREP} πᾶσιν. 3956 {A-DPN}
2,8,"Μνημόνευε 3421 {V-PAM-2S} Ἰησοῦν 2424 {N-ASM} χριστὸν 5547 {N-ASM} ἐγηγερμένον 1453 {V-RPP-ASM} ἐκ 1537 {PREP} νεκρῶν, 3498 {A-GPM} ἐκ 1537 {PREP} σπέρματος 4690 {N-GSN} Δαυίδ, 1138 {N-PRI} κατὰ 2596 {PREP} τὸ 3588 {T-ASN} εὐαγγέλιόν 2098 {N-ASN} μου· 1473 {P-1GS} "
2,9,"ἐν 1722 {PREP} ᾧ 3739 {R-DSN} κακοπαθῶ 2553 {V-PAI-1S} μέχρι 3360 {ADV} δεσμῶν, 1199 {N-GPM} ὡς 5613 {ADV} κακοῦργος· 2557 {A-NSM} ἀλλ’ 235 {CONJ} ὁ 3588 {T-NSM} λόγος 3056 {N-NSM} τοῦ 3588 {T-GSM} θεοῦ 2316 {N-GSM} οὐ 3756 {PRT-N} δέδεται. 1210 {V-RPI-3S} "
2,10,"Διὰ 1223 {PREP} τοῦτο 3778 {D-ASN} πάντα 3956 {A-APN} ὑπομένω 5278 {V-PAI-1S} διὰ 1223 {PREP} τοὺς 3588 {T-APM} ἐκλεκτούς, 1588 {A-APM} ἵνα 2443 {CONJ} καὶ 2532 {CONJ} αὐτοὶ 846 {P-NPM} σωτηρίας 4991 {N-GSF} τύχωσιν 5177 {V-2AAS-3P} τῆς 3588 {T-GSF} ἐν 1722 {PREP} χριστῷ 5547 {N-DSM} Ἰησοῦ, 2424 {N-DSM} μετὰ 3326 {PREP} δόξης 1391 {N-GSF} αἰωνίου. 166 {A-GSF} "
